RK;PLAYER;GP;MIN;PTS;FGM;FGA;3PM;3PA;FTM;FTA;OR;DR;REB;AST;STL;BLK;TO;PF
1;Chelsea Gray;7;156;203;69;124;28;53;18;19;5;30;35;45;11;4;19;16
2;Marina Mabrey;7;149;178;63;152;23;77;17;20;5;47;52;38;3;0;29;23
3;Allisha Gray;7;116;170;60;125;20;54;14;18;8;26;34;24;8;6;11;13
4;Paige Bueckers;7;142;167;60;115;13;29;20;22;5;47;52;45;4;6;17;19
5;Aaliyah Edwards;7;134;152;64;112;1;2;14;20;30;61;91;14;6;4;23;25
6;Kelsey Plum;7;124;148;60;122;18;51;7;7;5;31;36;38;3;0;8;20
7;Brittney Sykes;7;110;147;54;111;18;41;12;16;4;23;27;11;12;3;11;20
8;Rhyne Howard;7;146;140;50;113;27;61;9;12;4;31;35;16;11;5;10;19
9;Breanna Stewart;7;115;138;54;111;7;25;14;16;12;52;64;17;8;5;12;12
10;Dearica Hamby;7;114;138;54;100;2;12;15;22;12;43;55;6;6;0;7;23
11;Aliyah Boston;7;120;132;56;108;6;22;7;9;15;53;68;15;9;13;12;22
12;Jackie Young;7;100;118;42;84;12;32;13;14;8;20;28;32;6;1;11;14
13;Dominique Malonga;7;103;118;48;91;4;12;10;11;20;56;76;5;2;9;22;12
14;Kelsey Mitchell;7;121;111;48;94;8;30;4;6;4;14;18;17;8;0;9;18
15;Sonia Citron;7;113;100;38;89;5;29;10;12;2;29;31;16;7;7;11;22
16;Monique Billings;7;84;93;35;79;2;9;11;13;16;47;63;2;7;2;10;19
17;Arike Ogunbowale;7;94;89;35;83;13;36;3;6;5;12;17;15;8;1;11;16
18;Shakira Austin;7;93;88;35;67;0;3;11;18;9;40;49;7;3;2;9;16
19;Alyssa Thomas;7;98;86;38;57;0;0;6;7;6;45;51;24;2;2;6;9
20;Rickea Jackson;6;116;85;31;81;6;18;9;11;8;26;34;20;4;2;13;12
21;Tiffany Hayes;7;83;84;28;61;12;32;9;9;6;15;21;21;7;3;5;17
22;Kahleah Copper;4;71;82;34;68;9;24;3;5;4;14;18;3;0;2;2;15
23;Cameron Brink;7;75;78;25;52;5;15;11;13;11;28;39;6;1;11;14;27
24;Azurá Stevens;7;81;78;30;74;7;25;6;6;14;34;48;12;2;3;4;12
25;Natasha Cloud;7;119;77;29;56;15;32;2;3;1;32;33;30;3;1;9;23
26;Kiki Iriafen;7;71;77;29;67;2;9;9;17;13;17;30;4;3;1;6;21
27;Ezi Magbegor;7;81;64;30;59;1;10;2;3;5;39;44;8;4;7;8;22
28;Naz Hillmon;7;86;61;22;50;6;25;6;10;10;38;48;6;1;2;12;14
29;Veronica Burton;7;102;59;21;55;5;21;7;10;11;27;38;24;15;4;5;17
30;Skylar Diggins;4;54;58;18;52;2;16;12;14;4;7;11;9;4;5;5;13
31;Courtney Williams;7;90;55;26;59;3;10;0;1;3;36;39;34;2;1;11;16
32;Jordin Canada;7;66;55;19;60;6;22;6;7;3;31;34;24;7;1;5;16
33;Erica Wheeler;7;70;53;19;49;8;22;4;5;6;18;24;21;3;0;5;11
34;Maddy Siegrist;6;52;52;21;39;4;11;3;5;6;17;23;2;3;0;5;13
35;Kate Martin;7;71;46;19;47;3;21;2;4;7;22;29;9;2;1;8;14
36;Rae Burrell;7;57;46;17;42;3;11;5;6;6;16;22;12;4;1;5;8
37;Natisha Hiedeman;7;58;45;17;47;7;21;2;3;3;11;14;11;1;0;4;13
38;Brittney Griner;6;33;44;16;25;0;1;7;9;6;13;19;0;0;4;7;13
39;Alanna Smith;7;54;36;16;36;0;10;2;6;5;22;27;2;2;6;5;17
40;Saniya Rivers;6;53;34;15;44;2;12;1;3;2;17;19;5;5;10;7;7
41;Lexie Hull;6;65;34;12;39;4;19;3;3;9;15;24;5;11;2;4;12
42;Rebecca Allen;7;87;33;13;36;7;19;0;0;5;16;21;9;3;8;13;27
43;Sug Sutton;6;49;33;13;32;5;18;1;1;0;7;7;12;6;0;2;15
44;Li Yueru;7;40;32;12;27;1;7;4;4;5;18;23;2;1;2;1;11
45;Temi Fágbénlé;7;43;24;11;20;0;3;1;4;8;17;25;2;4;2;7;12
46;Rachel Banham;7;33;23;8;18;7;16;0;1;0;11;11;3;0;0;3;14
47;Kiana Williams;1;8;6;2;7;2;6;0;0;0;4;4;0;0;0;1;2
48;Aari McDonald;1;6;2;0;4;0;1;1;3;1;0;1;0;0;0;0;2
